"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
0,-90.000000,0.000000,0.000000,38669.108795,2.000000,360.000000
1,-88.000000,30.000000,0.000000,51547.565664,2.000000,60.000000
2,-88.000000,90.000000,0.000000,51547.565664,2.000000,60.000000
3,-88.000000,150.000000,0.000000,51547.565664,2.000000,60.000000
4,-88.000000,210.000000,0.000000,51547.565664,2.000000,60.000000
5,-88.000000,270.000000,0.000000,51547.565664,2.000000,60.000000
6,-88.000000,330.000000,0.000000,51547.565664,2.000000,60.000000
7,-85.984383,10.000000,0.000000,35017.228179,2.031233,20.000000
8,-85.984383,30.000000,0.000000,35017.228179,2.031233,20.000000
9,-85.984383,50.000000,0.000000,35017.228179,2.031233,20.000000
10,-83.953150,10.000000,0.000000,52677.608063,2.031233,20.000000
11,-83.953150,30.000000,0.000000,52677.608063,2.031233,20.000000
12,-83.953150,50.000000,0.000000,52677.608063,2.031233,20.000000
13,-81.921917,10.000000,0.000000,70274.438956,2.031233,20.000000
14,-81.921917,30.000000,0.000000,70274.438956,2.031233,20.000000
15,-81.921917,50.000000,0.000000,70274.438956,2.031233,20.000000
16,-85.984383,70.000000,0.000000,35017.228179,2.031233,20.000000
17,-85.984383,90.000000,0.000000,35017.228179,2.031233,20.000000
18,-85.984383,110.000000,0.000000,35017.228179,2.031233,20.000000
19,-83.953150,70.000000,0.000000,52677.608063,2.031233,20.000000
20,-83.953150,90.000000,0.000000,52677.608063,2.031233,20.000000
21,-83.953150,110.000000,0.000000,52677.608063,2.031233,20.000000
22,-81.921917,70.000000,0.000000,70274.438956,2.031233,20.000000
23,-81.921917,90.000000,0.000000,70274.438956,2.031233,20.000000
24,-81.921917,110.000000,0.000000,70274.438956,2.031233,20.000000
25,-85.984383,130.000000,0.000000,35017.228179,2.031233,20.000000
26,-85.984383,150.000000,0.000000,35017.228179,2.031233,20.000000
27,-85.984383,170.000000,0.000000,35017.228179,2.031233,20.000000
28,-83.953150,130.000000,0.000000,52677.608063,2.031233,20.000000
29,-83.953150,150.000000,0.000000,52677.608063,2.031233,20.000000
30,-83.953150,170.000000,0.000000,52677.608063,2.031233,20.000000
